    time           T_x           T_y           T_z      
 0.0050000000 -0.0027031529 -7.0098025276 -0.0008100185 
 0.0132500000 -0.0039544820  4.1749414182 -0.0008100389 
 0.0270000000 -0.0027897450  0.1226202219 -0.0008100795 
 0.0421250000 -0.0036187514 -0.0162290773 -0.0008101284 
 0.0587625000 -0.0032944023 -0.0023421771 -0.0008101877 
 0.0770637500 -0.0032761015 -0.0015891251 -0.0008102587 
 0.0971951250 -0.0032393178 -0.0017020610 -0.0008103414 
 0.1193396375 -0.0031851726 -0.0018847374 -0.0008104363 
 0.1436986013 -0.0031230388 -0.0020519337 -0.0008105438 
 0.1704934614 -0.0030531370 -0.0022091536 -0.0008106640 
 0.1999678075 -0.0029720807 -0.0023850297 -0.0008107973 
 0.2323895883 -0.0028774263 -0.0025866757 -0.0008109433 
 0.2680535471 -0.0027675614 -0.0028087375 -0.0008111018 
 0.3072839018 -0.0026378251 -0.0031012345 -0.0008112745 
 0.3504372920 -0.0024986272 -0.0033054352 -0.0008114595 
 0.3979060212 -0.0023284186 -0.0035945084 -0.0008116554 
 0.4468109273 -0.0021550205 -0.0038850688 -0.0008118510 
 0.4957262924 -0.0019674608 -0.0041612761 -0.0008120408 
 0.5446517838 -0.0017669287 -0.0044299925 -0.0008122235 
 0.5935864640 -0.0015600564 -0.0046929911 -0.0008123980 
 0.6425299611 -0.0013461640 -0.0049488301 -0.0008125638 
 0.6914815060 -0.0011248546 -0.0051971895 -0.0008127205 
 0.7404406749 -0.0008964085 -0.0054379774 -0.0008128683 
 0.7894068641 -0.0006610430 -0.0056710301 -0.0008130075 
 0.8383795897 -0.0004189311 -0.0058961842 -0.0008131383 
 0.8873584089 -0.0001702550 -0.0061132926 -0.0008132613 
 0.9363427711  0.0000847982 -0.0063222133 -0.0008133767 
 0.9853323910  0.0003460421 -0.0065228062 -0.0008134851 
 1.0343266462  0.0006132816 -0.0067149351 -0.0008135870 
 1.0833254047  0.0008863247 -0.0068984648 -0.0008136827 
 1.1323279519  0.0011649654 -0.0070732661 -0.0008137727 
 1.1813342021  0.0014490036 -0.0072392081 -0.0008138575 
 1.2303435697  0.0017382236 -0.0073961691 -0.0008139375 
 1.2793559017  0.0020324140 -0.0075440251 -0.0008140132 
 1.3283707788  0.0023313515 -0.0076826611 -0.0008140848 
 1.3773879423  0.0026348122 -0.0078119624 -0.0008141527 
 1.4264071378  0.0029425658 -0.0079318212 -0.0008142174 
 1.4754279967  0.0032543762 -0.0080421337 -0.0008142792 
 1.5244504296  0.0035700066 -0.0081428006 -0.0008143384 
 1.5734739509  0.0038892096 -0.0082337304 -0.0008143952 
 1.6224985399  0.0042117417 -0.0083148329 -0.0008144500 
 1.6715237367  0.0045373471 -0.0083860297 -0.0008145031 
