    time           T_x           T_y           T_z      
 0.0050000000 -0.0035706055 -7.0594068593 -0.0008193138 
 0.0132500000 -0.0041128800  4.3512300089 -0.0008193853 
 0.0270000000 -0.0030158926  0.0250063241 -0.0008194790 
 0.0387373248 -0.0038484073 -0.0096699244 -0.0008195623 
 0.0505099998 -0.0033879990 -0.0023448926 -0.0008196276 
 0.0623134603 -0.0033575300 -0.0028717573 -0.0008196503 
 0.0741435043 -0.0033316023 -0.0031529059 -0.0008196585 
 0.0859966868 -0.0032799215 -0.0030303124 -0.0008196620 
 0.0978702406 -0.0032226108 -0.0028841743 -0.0008196642 
 0.1097597835 -0.0031743216 -0.0028627235 -0.0008196663 
 0.1216583659 -0.0031318415 -0.0028897503 -0.0008196686 
 0.1335660498 -0.0030895975 -0.0029045519 -0.0008196712 
 0.1454828482 -0.0030469248 -0.0029136685 -0.0008196740 
 0.1574086461 -0.0030050001 -0.0029333843 -0.0008196770 
 0.1693433269 -0.0029640374 -0.0029636141 -0.0008196802 
 0.1812866848 -0.0029235383 -0.0029985945 -0.0008196836 
 0.1932385375 -0.0028831653 -0.0030362632 -0.0008196870 
 0.2051986512 -0.0028428666 -0.0030770794 -0.0008196905 
 0.2171667988 -0.0028026351 -0.0031210690 -0.0008196940 
 0.2291427334 -0.0027624062 -0.0031675512 -0.0008196975 
 0.2411262175 -0.0027221014 -0.0032159333 -0.0008197009 
 0.2531170197 -0.0026816678 -0.0032659461 -0.0008197043 
 0.2651148910 -0.0026410729 -0.0033174293 -0.0008197075 
 0.2771196132 -0.0026002880 -0.0033701898 -0.0008197106 
 0.2891309436 -0.0025592847 -0.0034240296 -0.0008197136 
 0.3011486823 -0.0025180365 -0.0034787889 -0.0008197165 
 0.3131725996 -0.0024765220 -0.0035343492 -0.0008197192 
 0.3252025040 -0.0024347222 -0.0035906094 -0.0008197217 
 0.3372381885 -0.0023926205 -0.0036474782 -0.0008197241 
 0.3492794692 -0.0023502014 -0.0037048721 -0.0008197264 
 0.3613261686 -0.0023074509 -0.0037627189 -0.0008197285 
 0.3733781023 -0.0022643565 -0.0038209560 -0.0008197304 
 0.3854351151 -0.0022209064 -0.0038795266 -0.0008197323 
 0.3974970276 -0.0021770906 -0.0039383809 -0.0008197340 
 0.4095637012 -0.0021328992 -0.0039974717 -0.0008197356 
 0.4216349738 -0.0020883236 -0.0040567579 -0.0008197371 
 0.4337107112 -0.0020433558 -0.0041162004 -0.0008197385 
 0.4457907721 -0.0019979886 -0.0041757641 -0.0008197398 
 0.4578750243 -0.0019522154 -0.0042354165 -0.0008197410 
 0.4699633506 -0.0019060301 -0.0042951268 -0.0008197422 
 0.4820556152 -0.0018594274 -0.0043548676 -0.0008197434 
 0.4941517160 -0.0018124021 -0.0044146115 -0.0008197445 
 0.5062515218 -0.0017649501 -0.0044743347 -0.0008197456 
 0.5183549374 -0.0017170672 -0.0045340131 -0.0008197466 
 0.5304618539 -0.0016687499 -0.0045936255 -0.0008197477 
 0.5425721710 -0.0016199951 -0.0046531510 -0.0008197487 
 0.5546857970 -0.0015707999 -0.0047125701 -0.0008197497 
 0.5668021924 -0.0015211650 -0.0047718705 -0.0008197508 
 0.5789203838 -0.0014710926 -0.0048310309 -0.0008197518 
