x,p1_l4,p2_l2,p3_l1,p3_l2,p4_l1,p4_l2,p5_l1,DNS
18.5015,8.39,8.5964,8.6843,8.9186,8.9235,8.9469,8.8439,8.9283
18.5658,8.5068,8.7068,8.8119,9.067,9.0641,9.0888,8.9863,9.0717
18.9202,9.1531,9.4472,9.5003,9.8722,9.8507,9.8779,9.7871,9.8301
19.0434,9.381,9.7078,9.7359,10.1489,10.1294,10.1561,10.072,10.0839
19.151,9.583,9.9374,9.9414,10.3906,10.3759,10.4016,10.324,10.3043
19.1733,9.6252,9.9855,9.9841,10.4408,10.4274,10.4529,10.3766,10.3502
19.2066,9.6883,10.0572,10.0476,10.5155,10.5044,10.5295,10.4552,10.4188
19.2508,9.7727,10.153,10.1323,10.615,10.6072,10.6317,10.5603,10.5109
19.3497,9.9628,10.367,10.3232,10.8378,10.8386,10.8618,10.7966,10.725
19.4056,10.0713,10.4878,10.4338,10.9642,10.9706,10.9929,10.9314,10.8537
19.5258,10.3071,10.7451,10.7267,11.2367,11.2562,11.2767,11.2234,11.1416
19.5508,10.3565,10.7982,10.7869,11.2936,11.316,11.336,11.2845,11.1979
19.5825,10.4195,10.8653,10.858,11.366,11.3921,11.4116,11.3623,11.2674
19.7315,10.7188,11.1731,11.1756,11.7075,11.7514,11.769,11.7299,11.5891
19.8007,10.8596,11.309,11.3205,11.8669,11.9194,11.9362,11.9017,11.746
20.0266,11.3298,11.7342,11.7941,12.3913,12.4722,12.488,12.4673,12.3365
20.0414,11.3614,11.7674,11.8255,12.426,12.5088,12.5245,12.5047,12.3766
20.0738,11.4307,11.8464,11.8943,12.5018,12.5886,12.6045,12.5864,12.4634
20.1091,11.5067,11.9399,11.9693,12.5843,12.6755,12.6916,12.6753,12.5566
20.1999,11.7073,12.1811,12.165,12.7977,12.8996,12.9168,12.905,12.7932
20.2821,11.8999,12.3667,12.3451,12.992,13.103,13.1219,13.1137,13.0073
20.3402,12.035,12.4898,12.4739,13.1297,13.2465,13.2672,13.2612,13.1602
20.3839,12.1258,12.5867,12.5719,13.2337,13.3543,13.3769,13.3725,13.2757
20.4814,12.3185,12.8681,12.794,13.4672,13.5943,13.6226,13.6212,13.5314
20.5229,12.4003,12.9774,12.8899,13.567,13.6956,13.7274,13.7271,13.638
20.5316,12.4177,12.9995,12.9103,13.5882,13.7169,13.7496,13.7495,13.6603
20.5512,12.457,13.048,12.9561,13.6355,13.7645,13.7993,13.7996,13.71
20.573,12.501,13.1011,13.0073,13.6883,13.817,13.8545,13.8552,13.765
20.5892,12.5343,13.1403,13.0456,13.7277,13.8558,13.8956,13.8967,13.8059
20.6655,12.6981,13.3233,13.2303,13.9142,14.0352,14.0898,14.092,13.9984
20.7535,12.9005,13.5337,13.4606,14.133,14.226,14.3149,14.3174,14.2252
20.7968,13.0033,13.6354,13.5773,14.2427,14.2998,14.4261,14.4282,14.3414
20.8322,13.0881,13.7171,13.6708,14.3343,14.3504,14.5173,14.5189,14.4404
20.8507,13.1327,13.7595,13.7188,14.3835,14.3828,14.5654,14.5665,14.4939
20.8641,13.165,13.7898,13.7529,14.4196,14.4084,14.6001,14.6008,14.5332
20.9184,13.2953,13.9104,13.8852,14.5758,14.5209,14.7411,14.7398,14.6955
20.9512,13.3734,13.9814,13.9599,14.7835,14.5923,14.8268,14.8237,14.7946
20.9686,13.4146,14.0186,13.9977,14.8205,14.6308,14.8724,14.8683,14.8467
