x,p1_l4,p2_l2,p3_l1,p3_l2,p4_l1,p4_l2,p5_l1,DNS
31.5928,11.3958,11.9009,11.9454,14.1657,13.7693,14.4047,13.6766,14.5776
31.6016,11.3924,11.8981,11.9395,14.1612,13.7636,14.3994,13.6703,14.5721
31.7482,11.3338,11.851,11.845,14.0857,13.667,14.3134,13.566,14.4788
31.8319,11.3,11.8239,11.7936,14.0417,13.6116,14.2652,13.5066,14.4246
31.9796,11.2402,11.7756,11.7071,13.9632,13.515,14.1815,13.4019,14.3289
32.0969,11.1927,11.7367,11.6421,13.9005,13.4409,14.1164,13.3212,14.255
32.1849,11.1571,11.7074,11.5954,13.8536,13.3886,14.0683,13.2655,14.2018
32.2893,11.1153,11.6723,11.5423,13.7983,13.3357,14.0121,13.2065,14.142
32.2932,11.1138,11.6709,11.5404,13.7962,13.334,14.01,13.2044,14.1398
32.3976,11.073,11.6356,11.4899,13.7416,13.2952,13.9549,13.1502,14.0847
32.6013,11.0046,11.5663,11.3985,13.6384,13.2504,13.851,13.0548,13.9903
32.664,10.9883,11.5448,11.3721,13.608,13.2416,13.8203,13.0285,13.9641
32.7757,10.9644,11.5065,11.3269,13.5563,13.229,13.7673,12.9858,13.9198
32.809,10.9583,11.4951,11.3138,13.5416,13.2258,13.7521,12.9742,13.907
32.8588,10.9496,11.4779,11.2946,13.52,13.2214,13.7299,12.958,13.8883
32.8916,10.9443,11.4667,11.2822,13.5063,13.2187,13.7158,12.9482,13.8762
33.1156,10.9117,11.3894,11.2007,13.4209,13.2035,13.6318,12.8987,13.7956
33.4869,10.8651,11.261,11.073,13.3107,13.1848,13.5811,12.8639,13.6593
33.5073,10.8626,11.2539,11.066,13.3053,13.1839,13.5825,12.8628,13.6512
33.5147,10.8617,11.2514,11.0636,13.3034,13.1835,13.5831,12.8624,13.6483
33.5307,10.8598,11.2459,11.0581,13.2992,13.1828,13.5844,12.8614,13.6419
33.5344,10.8593,11.2446,11.0569,13.2982,13.1826,13.5847,12.8612,13.6405
33.5429,10.8583,11.2416,11.054,13.296,13.1822,13.5854,12.8607,13.637
33.5461,10.8579,11.2405,11.0529,13.2952,13.1821,13.5857,12.8606,13.6358
