    time           T_x           T_y           T_z      
 0.0050000000 -0.0032885831 -7.0474332962 -0.0008161637 
 0.0132500000 -0.0040958795  4.2973128820 -0.0008162021 
 0.0270000000 -0.0030258295  0.0583286686 -0.0008162815 
 0.0421250000 -0.0038260773 -0.0117470472 -0.0008163675 
 0.0587625000 -0.0034087179 -0.0018992887 -0.0008164602 
 0.0770637500 -0.0033669698 -0.0022647722 -0.0008165514 
 0.0971951250 -0.0033103539 -0.0024805139 -0.0008166401 
 0.1193396375 -0.0032239047 -0.0025297615 -0.0008167240 
 0.1432130680 -0.0031296404 -0.0025783435 -0.0008168002 
 0.1671244451 -0.0030471760 -0.0026915297 -0.0008168659 
 0.1910704304 -0.0029629887 -0.0028135240 -0.0008169229 
 0.2150481958 -0.0028757246 -0.0029252231 -0.0008169721 
 0.2390550907 -0.0027886061 -0.0030354678 -0.0008170144 
 0.2630887644 -0.0027028143 -0.0031510903 -0.0008170505 
 0.2871471187 -0.0026172571 -0.0032706583 -0.0008170813 
 0.3112281579 -0.0025310547 -0.0033915832 -0.0008171076 
 0.3353302443 -0.0024440858 -0.0035133765 -0.0008171300 
 0.3594516540 -0.0023563655 -0.0036363061 -0.0008171492 
 0.3835910741 -0.0022677433 -0.0037602096 -0.0008171658 
 0.4077470981 -0.0021780166 -0.0038846742 -0.0008171802 
 0.4319186198 -0.0020870344 -0.0040094006 -0.0008171928 
 0.4561045412 -0.0019946967 -0.0041342210 -0.0008172042 
 0.4803038812 -0.0019009190 -0.0042589728 -0.0008172144 
 0.5045157993 -0.0018056213 -0.0043834698 -0.0008172240 
 0.5287394058 -0.0017087355 -0.0045075358 -0.0008172330 
 0.5529740619 -0.0016102049 -0.0046310194 -0.0008172416 
 0.5772189571 -0.0015099872 -0.0047537919 -0.0008172501 
 0.6014735618 -0.0014080468 -0.0048757288 -0.0008172585 
 0.6257372539 -0.0013043575 -0.0049967163 -0.0008172670 
 0.6500095280 -0.0011988992 -0.0051166468 -0.0008172756 
 0.6742899173 -0.0010916583 -0.0052354234 -0.0008172845 
 0.6985779263 -0.0009826273 -0.0053529572 -0.0008172937 
 0.7228732234 -0.0008718025 -0.0054691650 -0.0008173031 
 0.7471753038 -0.0007591862 -0.0055839718 -0.0008173130 
 0.7714838985 -0.0006447825 -0.0056973046 -0.0008173232 
 0.7957986069 -0.0005286004 -0.0058090992 -0.0008173338 
 0.8201191552 -0.0004106508 -0.0059192935 -0.0008173448 
 0.8444452491 -0.0002909475 -0.0060278311 -0.0008173562 
 0.8687765900 -0.0001695070 -0.0061346590 -0.0008173680 
 0.8931129777 -0.0000463465 -0.0062397269 -0.0008173802 
 0.9174540840  0.0000785132 -0.0063429894 -0.0008173928 
 0.9417997543  0.0002050515 -0.0064444014 -0.0008174058 
 0.9661496956  0.0003332453 -0.0065439233 -0.0008174191 
 0.9905037524  0.0004630710 -0.0066415154 -0.0008174328 
 1.0148617122  0.0005945035 -0.0067371421 -0.0008174469 
 1.0392233803  0.0007275168 -0.0068307689 -0.0008174612 
 1.0635886227  0.0008620847 -0.0069223629 -0.0008174759 
 1.0879572029  0.0009981790 -0.0070118943 -0.0008174909 
 1.1123290281  0.0011357723 -0.0070993325 -0.0008175062 
 1.1367038606  0.0012748352 -0.0071846513 -0.0008175218 
 1.1610816071  0.0014153387 -0.0072678228 -0.0008175377 
 1.1854621051  0.0015572532 -0.0073488229 -0.0008175538 
 1.2098440858  0.0017005395 -0.0074276327 -0.0008175701 
 1.2342267401  0.0018451642 -0.0075042159 -0.0008175867 
 1.2586100174  0.0019911000 -0.0075785455 -0.0008176036 
 1.2829939018  0.0021383150 -0.0076506095 -0.0008176206 
 1.3073783416  0.0022867752 -0.0077203917 -0.0008176379 
 1.3317633187  0.0024364492 -0.0077878720 -0.0008176553 
 1.3561487998  0.0025873062 -0.0078530316 -0.0008176730 
 1.3805347530  0.0027393143 -0.0079158539 -0.0008176908 
 1.4049211631  0.0028924411 -0.0079763231 -0.0008177089 
 1.4293079835  0.0030466539 -0.0080344240 -0.0008177271 
 1.4536952039  0.0032019203 -0.0080901415 -0.0008177455 
 1.4780827843  0.0033582074 -0.0081434618 -0.0008177640 
 1.5024707080  0.0035154825 -0.0081943711 -0.0008177828 
 1.5268589534  0.0036737124 -0.0082428567 -0.0008178016 
 1.5512474885  0.0038328639 -0.0082889063 -0.0008178207 
 1.5756363070  0.0039929038 -0.0083325080 -0.0008178399 
 1.6000253624  0.0041537985 -0.0083736510 -0.0008178593 
 1.6244146486  0.0043155145 -0.0084123242 -0.0008178788 
 1.6488041404  0.0044780181 -0.0084485177 -0.0008178985 
 1.6731938155  0.0046412757 -0.0084822220 -0.0008179184 
 1.6975836664  0.0048052534 -0.0085134279 -0.0008179384 
 1.7219736532  0.0049699173 -0.0085421270 -0.0008179586 
 1.7463637719  0.0051352334 -0.0085683109 -0.0008179789 
 1.7707539958  0.0053011677 -0.0085919724 -0.0008179994 
 1.7951443089  0.0054676860 -0.0086131043 -0.0008180201 
 1.8195347033  0.0056347542 -0.0086316998 -0.0008180409 
 1.8439251448  0.0058023382 -0.0086477531 -0.0008180618 
 1.8683156302  0.0059704036 -0.0086612583 -0.0008180830 
 1.8927061342  0.0061389162 -0.0086722103 -0.0008181043 
 1.9170966437  0.0063078417 -0.0086806044 -0.0008181257 
 1.9414871530  0.0064771458 -0.0086864362 -0.0008181473 
 1.9658776290  0.0066467940 -0.0086897022 -0.0008181691 
