    time           T_x           T_y           T_z      
 0.0050000000 -0.0033851924 -7.0618844281 -0.0008222798 
 0.0132500000 -0.0036611223  4.3262821938 -0.0008222792 
 0.0270000000 -0.0036287739  0.0408705298 -0.0008223294 
 0.0421250000 -0.0034986981 -0.0075367358 -0.0008223863 
 0.0587625000 -0.0034631437 -0.0028072937 -0.0008224480 
 0.0770637500 -0.0033887077 -0.0025224354 -0.0008225161 
 0.0971951250 -0.0033050653 -0.0026166164 -0.0008225843 
 0.1193396375 -0.0032219883 -0.0026835176 -0.0008226497 
 0.1432264910 -0.0031339569 -0.0027727924 -0.0008227091 
 0.1671502346 -0.0030487111 -0.0028684478 -0.0008227592 
 0.1911079877 -0.0029607598 -0.0029734810 -0.0008228014 
 0.2150971540 -0.0028743381 -0.0030814448 -0.0008228369 
 0.2391152227 -0.0027881573 -0.0031927788 -0.0008228664 
 0.2631598937 -0.0027020761 -0.0033068611 -0.0008228909 
 0.2872294198 -0.0026157588 -0.0034231852 -0.0008229109 
 0.3113223714 -0.0025288898 -0.0035412642 -0.0008229273 
 0.3354370183 -0.0024412324 -0.0036606736 -0.0008229407 
 0.3595719511 -0.0023526295 -0.0037810711 -0.0008229515 
 0.3837259221 -0.0022629496 -0.0039021692 -0.0008229602 
 0.4078979834 -0.0021720593 -0.0040237075 -0.0008229672 
 0.4320871469 -0.0020798392 -0.0041454493 -0.0008229729 
 0.4562924197 -0.0019861974 -0.0042671886 -0.0008229774 
 0.4805127157 -0.0018910677 -0.0043887486 -0.0008229811 
 0.5047473868 -0.0017943948 -0.0045099746 -0.0008229841 
 0.5289959033 -0.0016961280 -0.0046307241 -0.0008229866 
 0.5532573904 -0.0015962258 -0.0047508648 -0.0008229886 
 0.5775311240 -0.0014946577 -0.0048702798 -0.0008229903 
 0.6018164918 -0.0013914003 -0.0049888636 -0.0008229918 
 0.6261130651 -0.0012864358 -0.0051065209 -0.0008229931 
 0.6504203752 -0.0011797500 -0.0052231615 -0.0008229943 
 0.6747378417 -0.0010713340 -0.0053387016 -0.0008229955 
 0.6990648008 -0.0009611836 -0.0054530630 -0.0008229966 
 0.7234009151 -0.0008492978 -0.0055661757 -0.0008229977 
 0.7477459294 -0.0007356767 -0.0056779723 -0.0008229988 
 0.7720993599 -0.0006203247 -0.0057883887 -0.0008230000 
 0.7964607257 -0.0005032494 -0.0058973655 -0.0008230013 
 0.8208296102 -0.0003844600 -0.0060048461 -0.0008230027 
 0.8452057682 -0.0002639671 -0.0061107781 -0.0008230042 
 0.8695890082 -0.0001417824 -0.0062151110 -0.0008230058 
 0.8939788836 -0.0000179206 -0.0063177955 -0.0008230076 
 0.9183749642  0.0001076011 -0.0064187862 -0.0008230095 
