    time           T_x           T_y           T_z      
 0.0050000000 -0.0035946919 -7.0662581773 -0.0008224186 
 0.0132500000 -0.0036503125  4.3662292518 -0.0008224675 
 0.0270000000 -0.0037561428  0.0125851011 -0.0008224248 
 0.0387241571 -0.0033171578 -0.0044645499 -0.0008224579 
 0.0504850673 -0.0034870229 -0.0037463621 -0.0008225138 
 0.0622770868 -0.0033649141 -0.0033594012 -0.0008225585 
 0.0740958471 -0.0033158380 -0.0032733470 -0.0008225919 
 0.0859306190 -0.0032612514 -0.0032110963 -0.0008226160 
 0.0977767254 -0.0032119557 -0.0031680175 -0.0008226330 
 0.1096343309 -0.0031646083 -0.0031395854 -0.0008226449 
 0.1215034073 -0.0031190692 -0.0031231349 -0.0008226529 
 0.1333837244 -0.0030749259 -0.0031167562 -0.0008226581 
 0.1452749797 -0.0030318525 -0.0031189210 -0.0008226610 
 0.1571767606 -0.0029895991 -0.0031283632 -0.0008226622 
 0.1690887287 -0.0029479663 -0.0031440371 -0.0008226619 
 0.1810105185 -0.0029068020 -0.0031650816 -0.0008226605 
 0.1929417452 -0.0028096999 -0.0031298415 -0.0008226422 
 0.2048818932 -0.0028306085 -0.0032213821 -0.0008226218 
 0.2168305938 -0.0027927764 -0.0032598478 -0.0008226034 
 0.2287875615 -0.0028061347 -0.0033632786 -0.0008225981 
 0.2407526179 -0.0026323472 -0.0032487989 -0.0008225884 
 0.2527253413 -0.0026592073 -0.0033668626 -0.0008225788 
 0.2647053699 -0.0026328638 -0.0034275427 -0.0008225707 
 0.2766924598 -0.0025819199 -0.0034620708 -0.0008225641 
 0.2886863755 -0.0025386380 -0.0035071350 -0.0008225589 
 0.3006868606 -0.0024989656 -0.0035577981 -0.0008225549 
 0.3126936546 -0.0024580840 -0.0036084639 -0.0008225519 
 0.3247065290 -0.0024164050 -0.0036595916 -0.0008225497 
 0.3367253013 -0.0023745987 -0.0037118411 -0.0008225483 
 0.3487497479 -0.0023325986 -0.0037650330 -0.0008225474 
 0.3607796872 -0.0022902821 -0.0038189689 -0.0008225470 
 0.3728148793 -0.0022476365 -0.0038735793 -0.0008225469 
 0.3848551750 -0.0022046583 -0.0039287980 -0.0008225471 
 0.3969004232 -0.0021613335 -0.0039845538 -0.0008225476 
 0.4089504445 -0.0021176469 -0.0040407821 -0.0008225482 
 0.4210050662 -0.0020735855 -0.0040974236 -0.0008225489 
 0.4330641288 -0.0020291386 -0.0041544235 -0.0008225498 
 0.4451275169 -0.0019842959 -0.0042117309 -0.0008225508 
 0.4571950934 -0.0019390492 -0.0042693005 -0.0008225518 
 0.4692667316 -0.0018933900 -0.0043270884 -0.0008225529 
 0.4813422636 -0.0018473116 -0.0043850547 -0.0008225540 
 0.4934215868 -0.0018008064 -0.0044431602 -0.0008225552 
 0.5055046120 -0.0017538692 -0.0045013710 -0.0008225564 
 0.5175912144 -0.0017064956 -0.0045596552 -0.0008225576 
 0.5296812847 -0.0016586803 -0.0046179810 -0.0008225588 
 0.5417746929 -0.0016104200 -0.0046763200 -0.0008225601 
 0.5538713665 -0.0015617104 -0.0047346444 -0.0008225614 
 0.5659712272 -0.0015125491 -0.0047929297 -0.0008225627 
 0.5780741725 -0.0014629340 -0.0048511523 -0.0008225640 
 0.5901800973 -0.0014128628 -0.0049092891 -0.0008225653 
 0.6022889130 -0.0013623334 -0.0049673186 -0.0008225667 
 0.6144005628 -0.0013113445 -0.0050252205 -0.0008225681 
 0.6265149724 -0.0012598955 -0.0050829768 -0.0008225695 
 0.6386320664 -0.0012079854 -0.0051405690 -0.0008225710 
 0.6507517302 -0.0011556143 -0.0051979803 -0.0008225725 
 0.6628739143 -0.0011027811 -0.0052551932 -0.0008225740 
 0.6749985737 -0.0010494861 -0.0053121932 -0.0008225755 
 0.6871256328 -0.0009957302 -0.0053689663 -0.0008225771 
 0.6992550262 -0.0009415133 -0.0054254977 -0.0008225787 
 0.7113866651 -0.0008868367 -0.0054817745 -0.0008225804 
 0.7235205128 -0.0008317003 -0.0055377830 -0.0008225821 
 0.7356565324 -0.0007761056 -0.0055935120 -0.0008225838 
 0.7477946512 -0.0007200542 -0.0056489503 -0.0008225856 
 0.7599348005 -0.0006635472 -0.0057040862 -0.0008225874 
 0.7720769227 -0.0006065860 -0.0057589087 -0.0008225893 
 0.7842209887 -0.0005491719 -0.0058134078 -0.0008225912 
 0.7963669569 -0.0004913070 -0.0058675742 -0.0008225932 
 0.8085147750 -0.0004329932 -0.0059213985 -0.0008225952 
 0.8206643662 -0.0003742327 -0.0059748716 -0.0008225973 
 0.8328156965 -0.0003150268 -0.0060279840 -0.0008225994 
 0.8449687424 -0.0002553780 -0.0060807279 -0.0008226016 
 0.8571234603 -0.0001952888 -0.0061330957 -0.0008226038 
 0.8692798035 -0.0001347614 -0.0061850794 -0.0008226060 
 0.8814377020 -0.0000737984 -0.0062366714 -0.0008226084 
 0.8935968178 -0.0000124057 -0.0062878664 -0.0008226107 
 0.9057569108  0.0000494159 -0.0063386516 -0.0008226132 
 0.9179179608  0.0001116648 -0.0063890188 -0.0008226156 
 0.9300799480  0.0001743363 -0.0064389654 -0.0008226182 
 0.9422428355  0.0002374273 -0.0064884853 -0.0008226208 
 0.9544065969  0.0003009355 -0.0065375713 -0.0008226234 
 0.9665712056  0.0003648580 -0.0065862178 -0.0008226261 
 0.9787366459  0.0004291919 -0.0066344191 -0.0008226288 
 0.9909029010  0.0004939341 -0.0066821698 -0.0008226316 
 1.0030699393  0.0005590815 -0.0067294646 -0.0008226345 
 1.0152377366  0.0006246311 -0.0067762981 -0.0008226374 
 1.0274062685  0.0006905798 -0.0068226652 -0.0008226404 
 1.0395755232  0.0007569244 -0.0068685609 -0.0008226434 
 1.0517454839  0.0008236618 -0.0069139806 -0.0008226465 
 1.0639161240  0.0008907884 -0.0069589196 -0.0008226496 
 1.0760874197  0.0009583012 -0.0070033733 -0.0008226528 
 1.0882593512  0.0010261967 -0.0070473371 -0.0008226561 
 1.1004319100  0.0010944717 -0.0070908068 -0.0008226594 
 1.1126050812  0.0011631227 -0.0071337782 -0.0008226628 
 1.1247788419  0.0012321462 -0.0071762473 -0.0008226662 
 1.1369531691  0.0013015387 -0.0072182099 -0.0008226697 
 1.1491280454  0.0013712967 -0.0072596620 -0.0008226732 
 1.1613034646  0.0014414169 -0.0073005998 -0.0008226768 
 1.1734794112  0.0015118954 -0.0073410198 -0.0008226805 
 1.1856558660  0.0015827288 -0.0073809182 -0.0008226842 
 1.1978328052  0.0016539133 -0.0074202914 -0.0008226879 
 1.2100102166  0.0017254454 -0.0074591357 -0.0008226917 
 1.2221880956  0.0017973214 -0.0074974478 -0.0008226956 
 1.2343664278  0.0018695375 -0.0075352246 -0.0008226996 
 1.2465451971  0.0019420900 -0.0075724628 -0.0008227036 
 1.2587243797  0.0020149752 -0.0076091589 -0.0008227076 
 1.2709039657  0.0020881892 -0.0076453099 -0.0008227117 
 1.2830839516  0.0021617284 -0.0076809126 -0.0008227159 
 1.2952643228  0.0022355887 -0.0077159644 -0.0008227201 
 1.3074450655  0.0023097665 -0.0077504620 -0.0008227244 
 1.3196261552  0.0023842576 -0.0077844028 -0.0008227288 
 1.3318075862  0.0024590585 -0.0078177836 -0.0008227332 
 1.3439893557  0.0025341651 -0.0078506018 -0.0008227376 
 1.3561714506  0.0026095734 -0.0078828550 -0.0008227421 
 1.3683538588  0.0026852796 -0.0079145403 -0.0008227467 
 1.3805365567  0.0027612795 -0.0079456553 -0.0008227513 
 1.3927195392  0.0028375693 -0.0079761970 -0.0008227560 
 1.4049028047  0.0029141451 -0.0080061633 -0.0008227608 
 1.4170863396  0.0029910026 -0.0080355518 -0.0008227656 
 1.4292701338  0.0030681380 -0.0080643601 -0.0008227705 
 1.4414541634  0.0031455470 -0.0080925859 -0.0008227754 
 1.4536384261  0.0032232257 -0.0081202266 -0.0008227804 
 1.4658229211  0.0033011701 -0.0081472801 -0.0008227854 
 1.4780076361  0.0033793759 -0.0081737447 -0.0008227905 
 1.4901925626  0.0034578391 -0.0081996178 -0.0008227957 
 1.5023776767  0.0035365554 -0.0082248975 -0.0008228009 
 1.5145629768  0.0036155209 -0.0082495815 -0.0008228062 
 1.5267484628  0.0036947314 -0.0082736680 -0.0008228116 
 1.5389341224  0.0037741826 -0.0082971553 -0.0008228170 
 1.5511199477  0.0038538704 -0.0083200411 -0.0008228224 
 1.5633059160  0.0039337906 -0.0083423239 -0.0008228280 
 1.5754920269  0.0040139389 -0.0083640014 -0.0008228335 
 1.5876782808  0.0040943113 -0.0083850721 -0.0008228392 
 1.5998646670  0.0041749035 -0.0084055344 -0.0008228449 
 1.6120511789  0.0042557112 -0.0084253865 -0.0008228507 
 1.6242377937  0.0043367301 -0.0084446269 -0.0008228565 
 1.6364245110  0.0044179560 -0.0084632535 -0.0008228624 
 1.6486113319  0.0044993847 -0.0084812651 -0.0008228683 
 1.6607982461  0.0045810119 -0.0084986603 -0.0008228743 
 1.6729852475  0.0046628334 -0.0085154374 -0.0008228804 
 1.6851723140  0.0047448446 -0.0085315952 -0.0008228865 
 1.6973594458  0.0048270415 -0.0085471317 -0.0008228927 
 1.7095465921  0.0049094193 -0.0085620466 -0.0008228990 
 1.7217337480  0.0049919738 -0.0085763372 -0.0008229053 
 1.7339209127  0.0050747008 -0.0085900028 -0.0008229117 
 1.7461080775  0.0051575958 -0.0086030424 -0.0008229181 
 1.7582952427  0.0052406545 -0.0086154545 -0.0008229246 
 1.7704824086  0.0053238728 -0.0086272381 -0.0008229312 
 1.7826695756  0.0054072462 -0.0086383919 -0.0008229378 
 1.7948567439  0.0054907705 -0.0086489149 -0.0008229445 
 1.8070439055  0.0055744413 -0.0086588062 -0.0008229513 
 1.8192310593  0.0056582543 -0.0086680645 -0.0008229581 
 1.8314182058  0.0057422052 -0.0086766888 -0.0008229649 
 1.8436053454  0.0058262895 -0.0086846783 -0.0008229719 
 1.8557924785  0.0059105031 -0.0086920320 -0.0008229789 
 1.8679795986  0.0059948414 -0.0086987491 -0.0008229859 
 1.8801667032  0.0060793002 -0.0087048286 -0.0008229931 
 1.8923537928  0.0061638752 -0.0087102697 -0.0008230002 
 1.9045408681  0.0062485618 -0.0087150717 -0.0008230075 
 1.9167279295  0.0063333559 -0.0087192337 -0.0008230148 
 1.9289149736  0.0064182531 -0.0087227551 -0.0008230222 
 1.9411019951  0.0065032489 -0.0087256353 -0.0008230296 
 1.9532889946  0.0065883389 -0.0087278734 -0.0008230371 
 1.9654759727  0.0066735189 -0.0087294688 -0.0008230447 
 1.9776629300  0.0067587844 -0.0087304211 -0.0008230523 
 1.9898498417  0.0068441310 -0.0087307299 -0.0008230600 
 2.0020366663  0.0069295539 -0.0087303945 -0.0008230678 
