    time           T_x           T_y           T_z      
 0.0050000000 -0.0035946919 -7.0662581773 -0.0008224186 
 0.0132500000 -0.0036503125  4.3662292518 -0.0008224675 
 0.0270000000 -0.0037561428  0.0125851011 -0.0008224248 
 0.0421250000 -0.0033152494 -0.0048263047 -0.0008224736 
 0.0587625000 -0.0034259464 -0.0035948480 -0.0008225383 
 0.0770637500 -0.0033008909 -0.0032551554 -0.0008225976 
 0.0971951250 -0.0032118245 -0.0031653246 -0.0008226391 
 0.1193396375 -0.0031254946 -0.0031203006 -0.0008226605 
 0.1436986013 -0.0030372654 -0.0031133071 -0.0008226657 
 0.1704934614 -0.0029455279 -0.0031422490 -0.0008226594 
 0.1999678075 -0.0028474728 -0.0032049984 -0.0008226461 
 0.2323895883 -0.0027405071 -0.0033001158 -0.0008226294 
 0.2680535471 -0.0026214392 -0.0034261953 -0.0008226124 
 0.3072839018 -0.0024888845 -0.0035838825 -0.0008226038 
 0.3504372920 -0.0023379840 -0.0037694423 -0.0008225992 
 0.3979060212 -0.0021730370 -0.0039891080 -0.0008225971 
 0.4461133806 -0.0019869849 -0.0042132449 -0.0008225974 
 0.4943911609 -0.0018005140 -0.0044437117 -0.0008225994 
 0.5427304967 -0.0016101948 -0.0046776769 -0.0008226025 
 0.5911243528 -0.0014118197 -0.0049110838 -0.0008226064 
 0.6395663365 -0.0012064427 -0.0051429683 -0.0008226110 
 0.6880514600 -0.0009936459 -0.0053718870 -0.0008226163 
 0.7365749734 -0.0007735313 -0.0055968952 -0.0008226222 
 0.7851331736 -0.0005461123 -0.0058171586 -0.0008226290 
 0.8337224608 -0.0003114988 -0.0060320130 -0.0008226365 
 0.8823395909 -0.0000698164 -0.0062408901 -0.0008226449 
 0.9309792790  0.0001787717 -0.0064432940 -0.0008226541 
 0.9796337428  0.0004340653 -0.0066387837 -0.0008226642 
 1.0283013077  0.0006958498 -0.0068270193 -0.0008226751 
 1.0769807357  0.0009639466 -0.0070076647 -0.0008226870 
 1.1256706815  0.0012381451 -0.0071804307 -0.0008226997 
 1.1743699448  0.0015182247 -0.0073450573 -0.0008227133 
 1.2230775416  0.0018039586 -0.0075013075 -0.0008227278 
 1.2717924436  0.0020951128 -0.0076489636 -0.0008227432 
 1.3205139003  0.0023914467 -0.0077878280 -0.0008227596 
 1.3692410600  0.0026927145 -0.0079177167 -0.0008227768 
 1.4179731768  0.0029986643 -0.0080384620 -0.0008227950 
 1.4667095433  0.0033090400 -0.0081499093 -0.0008228141 
 1.5154494644  0.0036235810 -0.0082519163 -0.0008228342 
 1.5641924343  0.0039420233 -0.0083443536 -0.0008228552 
 1.6129378805  0.0042641003 -0.0084271014 -0.0008228772 
 1.6616852798  0.0045895414 -0.0085000518 -0.0008229002 
 1.7104338517  0.0049180724 -0.0085631054 -0.0008229242 
 1.7591825721  0.0052494144 -0.0086161738 -0.0008229492 
 1.8079313313  0.0055832905 -0.0086591837 -0.0008229752 
 1.8566800229  0.0059194263 -0.0086920631 -0.0008230022 
 1.9054285683  0.0062575444 -0.0087147524 -0.0008230302 
 1.9541768587  0.0065973659 -0.0087272006 -0.0008230593 
 2.0029248207  0.0069386116 -0.0087293652 -0.0008230893 
 2.0516723344  0.0072810015 -0.0087212118 -0.0008231205 
 2.1004183029  0.0076242495 -0.0087027110 -0.0008231526 
 2.1491624603  0.0079680715 -0.0086738529 -0.0008231859 
 2.1979045000  0.0083121874 -0.0086346249 -0.0008232202 
 2.2466441549  0.0086563162 -0.0085850258 -0.0008232555 
 2.2953812028  0.0090001779 -0.0085250625 -0.0008232920 
 2.3441154709  0.0093434939 -0.0084547490 -0.0008233295 
 2.3928466609  0.0096859857 -0.0083741066 -0.0008233680 
 2.4415745916  0.0100273769 -0.0082831655 -0.0008234077 
 2.4902990946  0.0103673926 -0.0081819616 -0.0008234485 
 2.5390199992  0.0107057596 -0.0080705385 -0.0008234903 
 2.5877370586  0.0110422060 -0.0079489469 -0.0008235333 
 2.6364501769  0.0113764627 -0.0078172453 -0.0008235774 
 2.6851592515  0.0117082630 -0.0076754972 -0.0008236225 
 2.7338640102  0.0120373413 -0.0075237736 -0.0008236688 
 2.7825643771  0.0123634355 -0.0073621539 -0.0008237162 
 2.8312602768  0.0126862866 -0.0071907211 -0.0008237647 
 2.8799514975  0.0130056369 -0.0070095656 -0.0008238144 
 2.9286379764  0.0133212330 -0.0068187857 -0.0008238652 
 2.9773196542  0.0136328245 -0.0066184834 -0.0008239171 
 3.0259963403  0.0139401631 -0.0064087675 -0.0008239701 
 3.0746679758  0.0142430049 -0.0061897543 -0.0008240243 
 3.1233345406  0.0145411095 -0.0059615636 -0.0008240796 
 3.1719958386  0.0148342388 -0.0057243216 -0.0008241361 
 3.2206518686  0.0151221600 -0.0054781616 -0.0008241938 
 3.2693026308  0.0154046438 -0.0052232197 -0.0008242526 
 3.3179478967  0.0156814630 -0.0049596386 -0.0008243125 
 3.3665877080  0.0159523971 -0.0046875681 -0.0008243736 
 3.4152220324  0.0162172280 -0.0044071593 -0.0008244360 
 3.4638507358  0.0164757418 -0.0041185707 -0.0008244994 
 3.5124738822  0.0167277304 -0.0038219659 -0.0008245641 
 3.5610913540  0.0169729879 -0.0035175112 -0.0008246299 
 3.6097031316  0.0172113148 -0.0032053798 -0.0008246970 
 3.6583092877  0.0174425158 -0.0028857477 -0.0008247652 
 3.7069096096  0.0176663980 -0.0025587953 -0.0008248347 
 3.7555041957  0.0178827772 -0.0022247097 -0.0008249053 
 3.8040930119  0.0180914707 -0.0018836784 -0.0008249772 
 3.8526754496  0.0182922981 -0.0015358968 -0.0008250502 
 3.9012490567  0.0184850746 -0.0011815753 -0.0008251245 
 3.9498136790  0.0186696469 -0.0008209345 -0.0008252000 
 3.9983694175  0.0188458495 -0.0004541700 -0.0008252768 
 4.0469162243  0.0190135257 -0.0000814889 -0.0008253548 
 4.0954540614  0.0191725270  0.0002968948 -0.0008254340 
 4.1439830560  0.0193227098  0.0006807664 -0.0008255144 
 4.1925030750  0.0194639336  0.0010699081 -0.0008255961 
 4.2410142321  0.0195960669  0.0014640975 -0.0008256791 
 4.2895164890  0.0197189802  0.0018631119 -0.0008257633 
 4.3380098946  0.0198325519  0.0022667241 -0.0008258488 
 4.3864945524  0.0199366650  0.0026747060 -0.0008259356 
 4.4349703716  0.0200312068  0.0030868261 -0.0008260236 
 4.4834375448  0.0201160738  0.0035028506 -0.0008261129 
 4.5318959595  0.0201911628  0.0039225446 -0.0008262036 
 4.5803457587  0.0202563816  0.0043456698 -0.0008262955 
 4.6287869774  0.0203116399  0.0047719877 -0.0008263887 
 4.6772196590  0.0203568546  0.0052012570 -0.0008264833 
 4.7256439529  0.0203919487  0.0056332355 -0.0008265791 
 4.7740597979  0.0204168486  0.0060676791 -0.0008266763 
 4.8224674124  0.0204314904  0.0065043425 -0.0008267749 
 4.8708667192  0.0204358109  0.0069429793 -0.0008268747 
 4.9192578789  0.0204297577  0.0073833414 -0.0008269760 
 4.9676409634  0.0204132803  0.0078251810 -0.0008270785 
 5.0160160746  0.0203863357  0.0082682487 -0.0008271825 
 5.0643833327  0.0203488863  0.0087122948 -0.0008272878 
 5.1127427387  0.0203008996  0.0091570682 -0.0008273945 
 5.1610945384  0.0202423512  0.0096023184 -0.0008275026 
 5.2094386806  0.0201732178  0.0100477938 -0.0008276122 
 5.2577753455  0.0200934874  0.0104932426 -0.0008277231 
 5.3061045925  0.0200031492  0.0109384132 -0.0008278354 
 5.3544266041  0.0199022008  0.0113830544 -0.0008279492 
 5.4027414762  0.0197906436  0.0118269146 -0.0008280644 
 5.4510492894  0.0196684859  0.0122697423 -0.0008281811 
 5.4993502376  0.0195357418  0.0127112871 -0.0008282992 
 5.5476443752  0.0193924291  0.0131512983 -0.0008284188 
 5.5959318905  0.0192385740  0.0135895263 -0.0008285399 
 5.6442127951  0.0190742055  0.0140257212 -0.0008286625 
 5.6924873691  0.0188993613  0.0144596358 -0.0008287866 
 5.7407556498  0.0187140803  0.0148910222 -0.0008289122 
 5.7890178018  0.0185184113  0.0153196340 -0.0008290394 
 5.8372739593  0.0183124057  0.0157452262 -0.0008291680 
 5.8855242999  0.0180961213  0.0161675551 -0.0008292983 
 5.9337689311  0.0178696208  0.0165863778 -0.0008294301 
 5.9820079494  0.0176329732  0.0170014526 -0.0008295634 
 6.0302416161  0.0173862527  0.0174125412 -0.0008296984 
 6.0784700186  0.0171295364  0.0178194049 -0.0008298350 
 6.1266933649  0.0168629100  0.0182218081 -0.0008299731 
 6.1749117058  0.0165864619  0.0186195156 -0.0008301130 
 6.2231253432  0.0163002880  0.0190122965 -0.0008302544 
 6.2713343172  0.0160044857  0.0193999191 -0.0008303976 
 6.3195388106  0.0156991617  0.0197821559 -0.0008305423 
 6.3677389543  0.0153844249  0.0201587807 -0.0008306888 
 6.4159350024  0.0150603900  0.0205295707 -0.0008308370 
 6.4641270738  0.0147271756  0.0208943043 -0.0008309869 
 6.5123152893  0.0143849070  0.0212527626 -0.0008311386 
 6.5604998879  0.0140337134  0.0216047307 -0.0008312920 
 6.6086810331  0.0136737276  0.0219499947 -0.0008314472 
 6.6568588639  0.0133050886  0.0222883442 -0.0008316041 
 6.7050334887  0.0129279402  0.0226195712 -0.0008317629 
 6.7532051992  0.0125424301  0.0229434725 -0.0008319234 
 6.8013741308  0.0121487092  0.0232598454 -0.0008320859 
 6.8495404947  0.0117469350  0.0235684924 -0.0008322501 
 6.8977043366  0.0113372684  0.0238692170 -0.0008324163 
 6.9458660129  0.0109198758  0.0241618296 -0.0008325844 
 6.9940255984  0.0104949246  0.0244461397 -0.0008327543 
 7.0421833211  0.0100625905  0.0247219636 -0.0008329262 
 7.0903392036  0.0096230511  0.0249891182 -0.0008331001 
 7.1384936559  0.0091764892  0.0252474286 -0.0008332759 
 7.1866467229  0.0087230886  0.0254967177 -0.0008334538 
 7.2347986915  0.0082630411  0.0257368175 -0.0008336336 
 7.2829495493  0.0077965400  0.0259675590 -0.0008338155 
 7.3310997370  0.0073237838  0.0261887833 -0.0008339995 
 7.3792492607  0.0068449717  0.0264003280 -0.0008341856 
 7.4273983963  0.0063603109  0.0266020413 -0.0008343737 
 7.4755471363  0.0058700098  0.0267937704 -0.0008345641 
 7.5236959444  0.0053742807  0.0269753728 -0.0008347566 
 7.5718448236  0.0048733373  0.0271467026 -0.0008349512 
 7.6199940935  0.0043674003  0.0273076256 -0.0008351482 
 7.6681437128  0.0038566917  0.0274580054 -0.0008353473 
 7.7162941624  0.0033414373  0.0275977177 -0.0008355487 
 7.7644454237  0.0028218640  0.0277266338 -0.0008357525 
 7.8125977933  0.0022982053  0.0278446377 -0.0008359585 
 7.8607512369  0.0017706962  0.0279516115 -0.0008361670 
