    time           T_x           T_y           T_z
 0.3932066275 -0.0021833478 -0.0039265409 -0.0008224650 
 0.3972277365 -0.0021689113 -0.0039457507 -0.0008224658 
 0.4012493658 -0.0021544304 -0.0039650079 -0.0008224665 
 0.4052715098 -0.0021399044 -0.0039843096 -0.0008224673 
 0.4092941630 -0.0021253331 -0.0040036538 -0.0008224681 
 0.4133173205 -0.0021107162 -0.0040230382 -0.0008224688 
 0.4173409777 -0.0020960536 -0.0040424607 -0.0008224696 
 0.4213651301 -0.0020813449 -0.0040619190 -0.0008224703 
 0.4253897679 -0.0020665903 -0.0040814115 -0.0008224711 
 0.4294148859 -0.0020517887 -0.0041009355 -0.0008224718 
 0.4334404797 -0.0020369402 -0.0041204896 -0.0008224726 
 0.4374665443 -0.0020220447 -0.0041400717 -0.0008224734 
 0.4414930756 -0.0020071019 -0.0041596802 -0.0008224741 
 0.4455200696 -0.0019921115 -0.0041793131 -0.0008224749 
 0.4495475221 -0.0019770734 -0.0041989689 -0.0008224757 
 0.4535754268 -0.0019619875 -0.0042186461 -0.0008224764 
 0.4576037475 -0.0019468557 -0.0042383439 -0.0008224772 
 0.4616323894 -0.0019316799 -0.0042580616 -0.0008224780 
 0.4656613488 -0.0019164490 -0.0042777907 -0.0008224787 
 0.4696906220 -0.0019011700 -0.0042975344 -0.0008224795 
 0.4737202057 -0.0018858436 -0.0043172917 -0.0008224803 
 0.4777500963 -0.0018704686 -0.0043370607 -0.0008224810 
 0.4817802897 -0.0018550449 -0.0043568399 -0.0008224818 
 0.4858107813 -0.0018395724 -0.0043766281 -0.0008224826 
 0.4898415663 -0.0018240509 -0.0043964239 -0.0008224834 
 0.4938726412 -0.0018084802 -0.0044162261 -0.0008224841 
 0.4979040030 -0.0017928601 -0.0044360334 -0.0008224849 
 0.5019356484 -0.0017771908 -0.0044558447 -0.0008224857 
 0.5059675746 -0.0017614719 -0.0044756589 -0.0008224865 
 0.5099997786 -0.0017457034 -0.0044954748 -0.0008224873 
 0.5140322545 -0.0017298854 -0.0045152914 -0.0008224881 
 0.5180649988 -0.0017140174 -0.0045351075 -0.0008224888 
 0.5220980087 -0.0016980994 -0.0045549220 -0.0008224896 
 0.5261312814 -0.0016821315 -0.0045747340 -0.0008224904 
 0.5301648144 -0.0016661134 -0.0045945425 -0.0008224912 
 0.5341986051 -0.0016500452 -0.0046143465 -0.0008224920 
 0.5382326508 -0.0016339267 -0.0046341451 -0.0008224928 
 0.5422669478 -0.0016177580 -0.0046539373 -0.0008224936 
 0.5463014931 -0.0016015388 -0.0046737223 -0.0008224944 
 0.5503362826 -0.0015852691 -0.0046934991 -0.0008224952 
 0.5543713138 -0.0015689489 -0.0047132668 -0.0008224960 
 0.5584065843 -0.0015525781 -0.0047330246 -0.0008224968 
 0.5624420920 -0.0015361566 -0.0047527717 -0.0008224976 
