    time           T_x           T_y           T_z      
 0.0050000000 -0.0036772646 -7.0700218980 -0.0008224584 
 0.0132500000 -0.0036495958  4.3842487976 -0.0008225322 
 0.0220742845 -0.0035837264 -0.0015535487 -0.0008225273 
 0.0279117187 -0.0035105428 -0.0044967370 -0.0008225490 
 0.0337602224 -0.0034755519 -0.0048123921 -0.0008225650 
 0.0396197702 -0.0034029534 -0.0042497224 -0.0008224818 
 0.0454895719 -0.0034120590 -0.0040261886 -0.0008224038 
 0.0513688849 -0.0033838279 -0.0038846239 -0.0008223519 
 0.0572569510 -0.0033493732 -0.0037440963 -0.0008223251 
 0.0631531117 -0.0033220381 -0.0036236104 -0.0008223175 
 0.0690567592 -0.0032970963 -0.0035268193 -0.0008223230 
 0.0749673667 -0.0032722589 -0.0034465769 -0.0008223363 
 0.0808844453 -0.0032479473 -0.0033788468 -0.0008223538 
 0.0868075613 -0.0032243849 -0.0033218315 -0.0008223729 
 0.0927346887 -0.0032014688 -0.0032740912 -0.0008223919 
 0.0986650076 -0.0031790091 -0.0032341538 -0.0008224100 
 0.1045985102 -0.0031569590 -0.0032010030 -0.0008224265 
 0.1105351754 -0.0031352996 -0.0031738587 -0.0008224414 
 0.1164749795 -0.0031139758 -0.0031519935 -0.0008224546 
 0.1224178910 -0.0030929371 -0.0031347835 -0.0008224661 
 0.1283638668 -0.0030721460 -0.0031217085 -0.0008224761 
 0.1343128517 -0.0030515692 -0.0031123234 -0.0008224846 
 0.1402647911 -0.0030311760 -0.0031062403 -0.0008224919 
 0.1462196345 -0.0030109395 -0.0031031208 -0.0008224981 
 0.1521773280 -0.0029908369 -0.0031026694 -0.0008225032 
 0.1581378063 -0.0029708477 -0.0031046271 -0.0008225074 
 0.1641010082 -0.0029509533 -0.0031087649 -0.0008225109 
 0.1700668785 -0.0029311371 -0.0031148808 -0.0008225137 
 0.1760353630 -0.0029113848 -0.0031227961 -0.0008225159 
 0.1820064020 -0.0028916835 -0.0031323516 -0.0008225177 
 0.1879799342 -0.0028720213 -0.0031434055 -0.0008225190 
 0.1939559009 -0.0028523874 -0.0031558306 -0.0008225199 
 0.1999342510 -0.0028327720 -0.0031695133 -0.0008225205 
 0.2059149321 -0.0028131665 -0.0031843519 -0.0008225208 
 0.2118978850 -0.0027935630 -0.0032002546 -0.0008225209 
 0.2178830558 -0.0027739538 -0.0032171381 -0.0008225209 
 0.2238703964 -0.0027543320 -0.0032349275 -0.0008225207 
 0.2298598615 -0.0027346915 -0.0032535549 -0.0008225203 
 0.2358514020 -0.0027150264 -0.0032729588 -0.0008225199 
 0.2418447664 -0.0026953361 -0.0032930872 -0.0008225193 
 0.2478399148 -0.0026756069 -0.0033138778 -0.0008225188 
 0.2538368164 -0.0026558379 -0.0033352890 -0.0008225181 
 0.2598354468 -0.0026360259 -0.0033572793 -0.0008225175 
 0.2658357834 -0.0026161660 -0.0033798087 -0.0008225168 
 0.2718378027 -0.0025962541 -0.0034028405 -0.0008225161 
 0.2778414655 -0.0025762870 -0.0034263419 -0.0008225154 
 0.2838467498 -0.0025562605 -0.0034502811 -0.0008225147 
 0.2898536321 -0.0025361716 -0.0034746301 -0.0008225140 
 0.2958620910 -0.0025160171 -0.0034993625 -0.0008225133 
 0.3018720946 -0.0024957945 -0.0035244537 -0.0008225127 
 0.3078836155 -0.0024755006 -0.0035498807 -0.0008225120 
 0.3138966317 -0.0024551327 -0.0035756222 -0.0008225115 
 0.3199111230 -0.0024346885 -0.0036016583 -0.0008225109 
 0.3259270686 -0.0024141656 -0.0036279707 -0.0008225104 
 0.3319444333 -0.0023935620 -0.0036545421 -0.0008225099 
