    time           T_x           T_y           T_z      
 0.0050000000 -0.0036971423 -7.0664343574 -0.0008224685 
 0.0132500000 -0.0037919458  4.3774363766 -0.0008221227 
 0.0250310811 -0.0033678060  0.0024243820 -0.0008221577 
 0.0328577098 -0.0035396939 -0.0074088372 -0.0008222424 
 0.0406978119 -0.0034163327 -0.0037441838 -0.0008222983 
 0.0485439283 -0.0033820538 -0.0040051123 -0.0008223315 
 0.0563971182 -0.0033426370 -0.0038237701 -0.0008223260 
 0.0642577956 -0.0033163099 -0.0036560375 -0.0008223232 
 0.0721261224 -0.0032761989 -0.0035206970 -0.0008223274 
 0.0800020835 -0.0032427378 -0.0034129093 -0.0008223348 
 0.0878855319 -0.0032159220 -0.0033309525 -0.0008223444 
 0.0957762583 -0.0031852001 -0.0032643870 -0.0008223552 
 0.1036740720 -0.0031549162 -0.0032115284 -0.0008223659 
 0.1115787370 -0.0031280672 -0.0031728744 -0.0008223758 
 0.1194899875 -0.0031002476 -0.0031432194 -0.0008223848 
 0.1274075948 -0.0030723583 -0.0031214450 -0.0008223928 
 0.1353313256 -0.0029496643 -0.0030172136 -0.0008224097 
 0.1432608200 -0.0031420463 -0.0032132456 -0.0008224154 
 0.1511960007 -0.0028804343 -0.0029892504 -0.0008224295 
 0.1591365971 -0.0030692032 -0.0031991619 -0.0008224315 
 0.1670824034 -0.0028344267 -0.0029999571 -0.0008224425 
 0.1750321367 -0.0030173320 -0.0032166244 -0.0008224418 
 0.1829856234 -0.0027839362 -0.0030209972 -0.0008224502 
 0.1909427884 -0.0029628000 -0.0032431806 -0.0008224479 
 0.1989035566 -0.0027346644 -0.0030542830 -0.0008224546 
 0.2068679005 -0.0029091708 -0.0032794313 -0.0008224514 
 0.2148357228 -0.0026848202 -0.0030959677 -0.0008224568 
 0.2228069645 -0.0027559860 -0.0032197402 -0.0008224632 
 0.2307814630 -0.0028450017 -0.0033643989 -0.0008224581 
 0.2387593363 -0.0025946561 -0.0031555850 -0.0008224608 
 0.2467404420 -0.0026756109 -0.0032956950 -0.0008224650 
 0.2547246378 -0.0027618635 -0.0034424735 -0.0008224602 
 0.2627119656 -0.0025238065 -0.0032476893 -0.0008224618 
 0.2707023431 -0.0025968726 -0.0033843368 -0.0008224647 
 0.2786955843 -0.0026791960 -0.0035313337 -0.0008224603 
 0.2866917830 -0.0024474727 -0.0033438743 -0.0008224614 
 0.2946908224 -0.0025173739 -0.0034808972 -0.0008224637 
 0.3026925792 -0.0025067662 -0.0035317770 -0.0008224659 
 0.3106970418 -0.0024673718 -0.0035521269 -0.0008224676 
 0.3187041075 -0.0024376879 -0.0035840890 -0.0008224685 
 0.3267137769 -0.0024121615 -0.0036214788 -0.0008224690 
 0.3347260033 -0.0023850476 -0.0036573567 -0.0008224693 
 0.3427406769 -0.0023572281 -0.0036928005 -0.0008224695 
 0.3507577809 -0.0023296349 -0.0037293127 -0.0008224695 
 0.3587772501 -0.0023019824 -0.0037665749 -0.0008224693 
 0.3667990470 -0.0022739909 -0.0038039068 -0.0008224691 
 0.3748231338 -0.0022457452 -0.0038412202 -0.0008224689 
 0.3828494335 -0.0022173852 -0.0038788151 -0.0008224688 
 0.3908779009 -0.0021889126 -0.0039168561 -0.0008224686 
 0.3989085066 -0.0021602544 -0.0039552114 -0.0008224684 
 0.4069412056 -0.0021313710 -0.0039936759 -0.0008224683 
 0.4149759504 -0.0021022824 -0.0040322055 -0.0008224683 
 0.4230127049 -0.0020730217 -0.0040708953 -0.0008224684 
 0.4310514105 -0.0020435921 -0.0041098053 -0.0008224685 
 0.4390920312 -0.0020139689 -0.0041488784 -0.0008224686 
 0.4471345403 -0.0019841382 -0.0041880269 -0.0008224688 
 0.4551789060 -0.0019541074 -0.0042272266 -0.0008224691 
 0.4632250815 -0.0019238878 -0.0042665093 -0.0008224694 
 0.4712730284 -0.0018934771 -0.0043058915 -0.0008224698 
 0.4793227206 -0.0018628662 -0.0043453458 -0.0008224703 
 0.4873741199 -0.0018320511 -0.0043848330 -0.0008224708 
 0.4954271869 -0.0018010340 -0.0044243380 -0.0008224714 
 0.5034818966 -0.0017698178 -0.0044638679 -0.0008224720 
 0.5115382230 -0.0017384019 -0.0045034254 -0.0008224727 
 0.5195961271 -0.0017067827 -0.0045429957 -0.0008224735 
 0.5276555785 -0.0016749576 -0.0045825580 -0.0008224743 
 0.5357165561 -0.0016429273 -0.0046221027 -0.0008224751 
 0.5437790173 -0.0016106942 -0.0046616299 -0.0008224760 
